Province,District,Year,Poverty Rate (%),Employment in industry (% of total employment)
Sindh,Shaheed Benazirabad,2014-01-01,41.0,14.46
Sindh,Shikarpur,2004-01-01,51.0,13.62
Sindh,Shikarpur,2006-01-01,70.0,8.12
Sindh,Shikarpur,2008-01-01,51.0,13.61
Sindh,Shikarpur,2010-01-01,42.0,14.1
Sindh,Shikarpur,2012-01-01,51.0,14.89
Sindh,Shikarpur,2014-01-01,44.0,21.87
Sindh,Sujawal,2004-01-01,51.0,7.0
Sindh,Sujawal,2006-01-01,59.0,5.38
Sindh,Sujawal,2008-01-01,57.0,6.13
Sindh,Sujawal,2010-01-01,50.0,8.93
Sindh,Sujawal,2012-01-01,47.0,6.63
Sindh,Sujawal,2014-01-01,52.0,6.31
Sindh,Sukkur,2004-01-01,48.0,13.4
Sindh,Sukkur,2006-01-01,54.0,13.49
Sindh,Sukkur,2008-01-01,48.0,15.25
Sindh,Sukkur,2010-01-01,37.0,21.84
Sindh,Sukkur,2012-01-01,43.0,23.68
Sindh,Sukkur,2014-01-01,36.0,24.08
Sindh,Tando Allah Yar,2004-01-01,41.0,15.65
Sindh,Tando Allah Yar,2006-01-01,50.0,20.95
Sindh,Tando Allah Yar,2008-01-01,48.0,12.18
Sindh,Tando Allah Yar,2010-01-01,44.0,13.21
Sindh,Tando Allah Yar,2012-01-01,47.0,13.83
Sindh,Tando Allah Yar,2014-01-01,46.0,11.49
Sindh,Tando Muhammad Khan,2004-01-01,41.0,15.65
Sindh,Tando Muhammad Khan,2006-01-01,50.0,20.95
Sindh,Tando Muhammad Khan,2008-01-01,56.0,15.62
Sindh,Tando Muhammad Khan,2010-01-01,50.0,13.18
Sindh,Tando Muhammad Khan,2012-01-01,49.0,13.89
Sindh,Tando Muhammad Khan,2014-01-01,49.0,11.24
Sindh,Tharparkar,2004-01-01,45.0,20.72
Sindh,Tharparkar,2006-01-01,58.0,12.72
Sindh,Tharparkar,2008-01-01,60.0,19.67
Sindh,Tharparkar,2010-01-01,51.0,19.98
Sindh,Tharparkar,2012-01-01,45.0,21.6
Sindh,Tharparkar,2014-01-01,51.0,20.56
Sindh,Thatta,2004-01-01,51.0,7.0
Sindh,Thatta,2006-01-01,59.0,5.38
Sindh,Thatta,2008-01-01,57.0,6.13
Sindh,Thatta,2010-01-01,50.0,8.93
Sindh,Thatta,2012-01-01,47.0,6.63
Sindh,Thatta,2014-01-01,51.0,19.1
Sindh,Umerkot,2004-01-01,43.0,9.4
Sindh,Umerkot,2006-01-01,55.0,8.22
Sindh,Umerkot,2008-01-01,55.0,5.24
Sindh,Umerkot,2010-01-01,46.0,18.05
Sindh,Umerkot,2012-01-01,47.0,12.31
Sindh,Umerkot,2014-01-01,46.0,10.52
