Province,District,Year,Poverty Rate (%),National poverty rank (N),Provincial poverty rank (N),"Number of poor (1,000s)",Access to improved drinking water (% of population),Access to piped water (% of population),"Access to improved drinking water, excl. piped water (% of population)",Access to improved water within 30 minutes round trip,Access to improved toilet facilities (% of population),Access to flush toilet connected to sewer (% of population),Access to flush toilet connected to septic tank (% of population),Open defecation (% of population),Access to electricity (% of population),Reliance on clean fuels for cooking (% of population),Households' mobile phone ownership (% of population),"Accessibility, health (% of population within 15 minutes to clinic/hospital)","Accessibility, transportation (% of population within 15 minutes to public transportation)",Household size,Household dependency ratio,Household child dependency ratio,Household senior dependency ratio,"Occupancy, present occupancy status-owner (% of population)","Occupancy, present occupancy status-rented (% of population)","Occupancy, present occupancy status-other (% of population)",Improved roof material (% of population),Improved wall material (% of population),Improved roof and wall material (% of population),Household members per room,Overcrowding (% of population),"Labor force participation rate (% of working age population, 15-64 years old)",Employment in agriculture (% of total employment),Employment in industry (% of total employment),Employment services (% of total employment),Wage and salaried employment (% of total employment),"Self-employment, non-agriculture (% of total employment)","Self-employment, agriculture (% of total employment)",Unpaid employment (% of total employment),Child labor (% of children aged 10-17),"Labor force participation rate, male (% of male working age population, 15-64 years old)","Employment in agriculture, male (% of male employment)","Employment in industry, male (% of male employment)","Employment services, male (% of male employment)","Wage and salaried employment, male (% of male employment)","Self-employment, non-agriculture, male (% of male employment)","Self-employment, agriculture, male (% of male employment)","Unpaid employment, male (% of male employment)","Labor force participation rate, female (% of female working age population, 15-64 years old)","Employment in agriculture, female (% of female employment)","Employment in industry, female (% of female employment)","Employment services, female (% of female employment)","Wage and salaried employment, female (% of female employment)","Self-employment, non-agriculture, female (% of female employment)","Self-employment, agriculture, female (% of female employment)","Unpaid employment, female (% of female employment)","Gross school enrollment, primary school, 6-10 years old (% gross)","Gross school enrollment, middle school, 11-13 years old (% gross)","Net school enrollment, primary school, 6-10 years old (% net)","Net school enrollment, middle school, 11-13 years old (% net)","Gross school enrollment, primary school, 6-10 years old, male (% gross male)","Gross school enrollment, middle school, 11-13 years old, male (% gross male)","Net school enrollment, primary school, 6-10 years old, male (% net male)","Net school enrollment, middle school, 11-13 years old, male (% net male)","Gross school enrollment, primary school, 6-10 years old, female (% gross female)","Gross school enrollment, middle school, 11-13 years old, female (% gross female)","Net school enrollment, primary school, 6-10 years old, female (% net female)","Net school enrollment, middle school, 11-13 years old, female (% net female)","Youth literacy, 15-24 years old (% of population aged 15-24)","Youth literacy, 15-24 years old, female (% of women aged 15-24)","Youth literacy, 15-24 years old male (% of men aged 15-24)","Adult literacy, 25 or more years old (% of population aged 25 or more)","Adult literacy, 25 or more years old, female (% of women aged 25 or more)","Adult literacy, 25 or more years old, male (% of men aged 25 or more)","Primary completion rate, 14-17 years old (% of population aged 14-17)","Primary completion rate, 14-17 years old, girls (% of girls aged 14-17)","Primary completion rate, 14-17 years old, boys (% of boys aged 14-17)","Youth literacy gender parity index, 15-24 years old","Adult literacy gender parity index, 25 or more years old","Primary completion gender parity index, 14-17 years old","Gross enrolment rate in primary gender parity index, 6-10 years old","Gross enrolment rate in middle school gender parity index, 11-13 years old","Net enrolment rate in primary gender parity index, 6-10 years old","Net enrolment rate in middle school gender parity index, 11-13 years old",Diarrhea incidence (% of children under 5),Diarrhea treatment- ORS (% of children under 5 who had diarrhea during a 30-day recall period),Pregnant women receiving antenatal care (% of women  aged 15-49 who gave birth in last 3 years),Assisted birth at healthcare facility (% of women aged 15-49 who gave birth in last 3 years),"Immunization, fully immunized (% children 12-24 months)","Immunization, polio three doses (% children 12-24 months)","Immunization, DPT three doses (% children 12-24 months)",Urban share of population (% of population),Access to improved drinking water (% of population),Access to piped water (% of population),Access to motorized pump (% of population),Access to hand pump (% of population),"Access to improved drinking water, excl. piped water (% of population)",Access to improved toilet facilities (% of population),Access to flush toilet connected to sewer (% of population),Access to flush toilet connected to septic tank (% of population),Open defecation (% of population),Women's marriage before age 15 (% of women aged 20-24),Women's marriage before age 18 (% of women aged 20-24),Average age at first marriage of women (married woman aged 15 to 49),Child registration (% of children aged under 5),"Prevalence of stunting, height for age (% of children under 5)","Prevalence of wasting, weight for height (% of children under 5)","Prevalence of underweight, weight for age (% of children under 5)",Diarrhea incidence (% of children under 5 who had diarrhea during a 2-week recall period),Early initiation of breastfeeding (% of recent mothers),Exclusive breastfeeding (% of children under 6 months),Children given plain water (% of children under 6 months),Children given milk (% of children under 6 months),Children given baby formula (% of children under 6 months),Children left unattended (% of children under 5),Toilet use by children (% of children 12-35 months old),Diarrhea treatment- less than regular liquid (% of children under 5 who had diarrhea episode in the two weeks prior to the survey),Diarrhea treatment- less than regular food (% of children under 5 who had a diarrhea episode in the two weeks prior to the survey),Diarrhea treatment- ORS (% of children under 5 who had a diarrhea episode in the two weeks prior to the survey),Pregnant women receiving prenatal care (% of ever-married women aged 15-49 with a live birth in the 2 years before the survey),Assisted birth (% of ever-married women aged 15-49 with a live birth in the 2 years before the survey),Average age at first birth of women,"Immunization, BCG (% of children under 3)","Immunization, Polio at birth (% of children under 3)","Immunization, Polio-1 (% of children under 3)","Immunization, Polio-2 (% of children under 3)","Immunization, Polio-3 (% of children under 3)","Immunization, Penta-1 (% of children under 3)","Immunization, Penta-2 (% of children under 3)","Immunization, measles (% of children under 3)",Vitamin A supplementation coverage rate (% of children ages 6-59 months),Using soap for handwashing (% of population),Using adequately iodized salt (% of population),Treating water before drinking (% of population),Population [Population Census 2017 – Provisional Results]
Balochistan,Barkhan,2008,82,110,24,88,14.99,0.94,14.04,14.56,6.24,0,6.24,43.58,60.7,1.27,12.99,11.8,12.39,6.51,0.42,0.41,0.01,94.96,0.9,4.14,3.84,21.48,3.13,3.07,37.58,51.72,60.17,15.2,24.62,31.29,10.74,27.16,30.8,29.61,91.98,58.84,15.74,25.42,32.01,11.3,28.58,28.1,5.52,85.62,4.93,9.45,17.53,0,0,82.47,62.95,30.86,38.01,8.24,94.01,46.27,55.62,11.54,30.07,7.88,19.36,3.33,32.31,8.44,51.73,16.06,2.36,28.21,30.75,10.27,51.88,0.16,0.08,0.2,0.32,0.17,0.35,0.29,12.24,79.56,7.27,7.94,65.02,68.94,72.32,11.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balochistan,Barkhan,2010,64,114,28,69,46.62,13.05,33.58,45.14,26.25,19.52,6.73,40.1,85.18,1.35,40.26,8.74,24.06,6.93,0.4,0.39,0.01,89.91,4.96,7.63,15.35,27.13,10.18,3.99,62.12,35.63,65.36,10.67,23.97,44.19,4.97,33.11,17.73,8.37,73.22,64.71,10.87,24.41,44.92,5.13,33.39,16.56,2.08,85.66,4.39,9.94,21.22,0,24.33,54.45,36.19,11.72,24.1,5.28,62.7,18.89,41.53,11.3,18.18,6.76,12.24,1.12,17,6.98,29.87,10.27,2.57,18.06,12.3,5.98,22.61,0.23,0.14,0.26,0.29,0.36,0.29,0.1,25.62,100,33.66,29.42,92.5,92.5,92.5,11.24,82.04,21.58,0,0,60.46,3.79,3.79,0,26.91,3.91,23.68,18,4.66,57.84,24.54,70.82,32.27,,0,51.92,51.92,51.92,22.43,0,11.11,15.69,87.38,29.39,6.52,22.17,6.59,11.43,50.14,45.16,11.22,,,6.3,,52.97,2.5,10.3,
Balochistan,Barkhan,2012,51,107,24,58,33.12,11.05,22.07,14.48,13.43,3.99,9.44,31.01,86.01,2.89,25.84,4.49,46.67,7.29,0.57,0.56,0,97.68,1.39,1.67,0.87,25.26,0.87,2.5,10.29,46.97,67.82,6.46,25.72,28.76,9.22,37.62,24.4,18.02,87.36,68.17,6.49,25.34,28.39,9.27,37.81,24.53,0.51,0,0,100,100,0,0,0,86.56,36.97,66.98,21.32,111.71,51.74,86.29,30.5,56.27,17.8,43.74,9.4,51.93,18.92,71.33,17.5,1.86,33.04,64.31,28.47,90.03,0.27,0.06,0.32,0.5,0.34,0.51,0.31,7.47,96.84,37.42,24.44,91.1,91.1,91.1,11.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balochistan,Barkhan,2014,59,105,19,52,31.45,6.32,25.13,23.38,28.66,0,28.66,37.64,55.13,6.2,50,8.06,40.41,7.26,0.56,0.56,0,98.61,0.73,0.73,5.12,24.25,5.12,2.39,11.67,48.39,69.81,6.91,23.28,24.65,7.22,40.79,26.94,30.55,91.91,69.97,6.97,23.06,24.5,7.28,41.01,26.81,0.87,49.5,0,50.5,43.24,0,13.13,43.63,77.68,37.41,55.04,22.65,124.5,52.34,85.78,29.97,30.8,18.42,24.26,13.34,40.56,12.57,58.93,14.98,0.8,29.11,49.32,27.79,62.63,0.21,0.03,0.44,0.25,0.35,0.28,0.45,14.13,100,41.56,22.59,65.65,65.65,67.64,12.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balochistan,Barkhan,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balochistan,Barkhan,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171556
Balochistan,Chagai,2004,74,113,29,135,57.13,49.14,8,51.92,3.65,0.97,2.68,4.3,34.42,0.42,0.21,29.25,56.11,7.62,0.44,0.42,0.02,96.76,2.49,0.75,2.39,3.66,1.7,3.27,37.97,41.3,21.47,7.52,71.01,68.29,9.53,10.71,11.47,19.01,72.46,21.68,7.71,70.61,67.82,9.78,10.98,11.42,2.33,13.5,0,86.5,86.5,0,0,13.5,56.96,25.02,33.51,9.66,66.99,35.45,36.94,13.59,47.03,12.4,30.11,4.9,42.96,23.6,56.77,20.24,6.09,32.22,29.55,22.16,35.17,0.42,0.19,0.63,0.7,0.35,0.82,0.36,5.67,90.18,29.34,13.42,44.82,46.89,44.82,14.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balochistan,Chagai,2006,82,113,28,76,35.8,34.56,1.24,34.56,3.7,0.46,3.24,57.59,26.1,0,0.77,45.19,81.18,7.13,0.44,0.43,0.01,97.84,0.9,1.26,4.61,4.6,3.27,3.25,40.97,40.57,28.57,20.71,50.73,63.14,9.46,16.48,10.92,19.63,74.21,27.85,21.25,50.9,63.64,9.71,16.65,10,2.22,55.89,0,44.11,44.11,0,10.08,45.81,71.72,40.07,49.04,16.24,83.22,49.33,54.98,17.19,57.31,28.6,41.59,15.08,50.29,27.4,68.29,21.17,2.45,38.42,43.46,30.84,52.64,0.4,0.06,0.59,0.69,0.58,0.76,0.88,5.3,74.45,19.8,7.65,61.75,61.75,61.75,9.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balochistan,Chagai,2008,74,102,16,72,28.02,11.66,16.36,25.3,1.05,0.81,0.24,40.84,23.01,5.72,6.56,3.65,99.65,7.19,0.47,0.46,0.01,93.5,2.91,3.6,4.38,4.66,4.05,2.9,30.96,42.6,32.92,15.12,51.96,67.5,11.84,12.27,8.38,21.51,75.64,33.32,15.4,51.28,67.13,12.02,12.5,8.34,1.73,11.15,0,88.85,87.59,2.1,0,10.31,75.4,51.1,53.45,21.18,90.83,68.06,63.67,28.36,56.92,24.8,41.21,10.06,49.29,18.5,69.83,24.23,2.78,43.2,52.29,19.41,70.82,0.26,0.06,0.27,0.63,0.36,0.65,0.35,21.83,97.52,25.85,28.84,17.65,20.06,22.38,13.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balochistan,Chagai,2010,56,108,23,69,16.98,11.11,5.88,16.87,7.83,0,7.83,29.15,30.95,10.67,32.63,20.26,50.38,7.07,0.48,0.47,0.01,99.05,0.74,0.95,7.57,33.22,5.02,3.87,57.55,45.21,45.64,16.22,38.14,39.15,13.49,21.45,25.92,26.1,84.91,45.37,16.34,38.29,39.31,13.59,21.61,25.49,1.56,83,0,17,17,0,0,83,57.38,40.14,46.57,24,77.27,58.99,61.01,34.45,31.24,12.55,27.58,8.7,36.81,11.59,57.71,21.03,3.87,37.42,40.88,9.86,61.48,0.2,0.1,0.16,0.4,0.21,0.45,0.25,10.91,89.07,21.86,16.9,30.65,33.08,36.13,9.5,65.21,36.42,0,0,28.8,12.41,1.97,10.45,39.71,2.29,6.14,19,0,60.34,15.24,34.89,16.34,,42.79,42.81,0,5.19,5.11,0.85,48.23,57.87,43.29,31.25,1.1,21.99,34.76,5.51,37.2,29.62,13.51,,,28.34,,79.34,12.33,1.11,
Balochistan,Chagai,2012,53,110,25,61,61.44,9.91,51.53,32.58,14.55,0,14.55,37.21,48.52,2.41,48.53,12.18,78.28,6.97,0.46,0.45,0.02,97.01,1.93,1.93,8.64,37.88,6.02,3.24,37,45.54,33.46,20.28,46.25,52.88,18.69,14.23,14.2,25.54,80.71,34,18.99,47.01,52.34,18.85,14.68,14.14,3.01,16.54,61.31,22.15,70.09,13.61,0,16.3,58.03,39.11,39.86,11.92,76.88,57.29,51.08,18.1,36.54,10.82,27.07,2.32,45.46,23.15,58.98,21.6,3.9,38.31,41.43,16.3,60.74,0.39,0.1,0.27,0.48,0.19,0.53,0.13,9.4,75.86,25.58,13.76,24.29,24.29,25.31,12.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balochistan,Chagai,2014,58,104,18,80,21.83,11.44,10.4,21.83,6.46,0,6.46,24.16,27.13,2.15,79.67,17.62,56.63,6.34,0.44,0.43,0.01,86.25,0.39,0.39,9.08,8.05,5.84,3.15,37.88,50.02,49.96,18.87,31.17,38.92,12.64,21.65,26.79,39.16,91.28,51.08,17.39,31.53,38.42,12.37,22.27,26.94,3.3,10.57,70.81,18.62,56.62,21.94,0,21.45,53.86,25.48,41.72,12.84,70.87,38.32,51.83,17.09,34.54,8.79,30.23,7.33,32,11.81,48.08,22.31,2.69,40.65,36.15,14.56,51.7,0.25,0.07,0.28,0.49,0.23,0.58,0.43,5.98,87.65,39.52,29.46,29.53,29.53,29.53,9.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balochistan,Chagai,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balochistan,Chagai,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226008
