Province,District,Year,Poverty Rate (%),Employment in agriculture (% of total employment)
Balochistan,Killa Abdullah,2014-01-01,66.0,48.99
Balochistan,Killa Saifullah,2004-01-01,66.0,54.45
Balochistan,Killa Saifullah,2006-01-01,80.0,54.38
Balochistan,Killa Saifullah,2008-01-01,73.0,52.06
Balochistan,Killa Saifullah,2010-01-01,48.0,63.27
Balochistan,Killa Saifullah,2012-01-01,46.0,66.03
Balochistan,Killa Saifullah,2014-01-01,46.0,37.24
Balochistan,Kohlu,2006-01-01,83.0,67.27
Balochistan,Kohlu,2008-01-01,87.0,79.32
Balochistan,Kohlu,2010-01-01,51.0,57.86
Balochistan,Kohlu,2012-01-01,49.0,79.27
Balochistan,Kohlu,2014-01-01,61.0,70.18
Balochistan,Las Bela,2004-01-01,65.0,44.02
Balochistan,Las Bela,2006-01-01,79.0,54.08
Balochistan,Las Bela,2008-01-01,76.0,39.44
Balochistan,Las Bela,2010-01-01,55.0,46.46
Balochistan,Las Bela,2012-01-01,41.0,47.42
Balochistan,Las Bela,2014-01-01,53.0,42.9
Balochistan,Lehri,2004-01-01,66.0,52.92
Balochistan,Lehri,2006-01-01,77.0,53.18
Balochistan,Lehri,2008-01-01,64.0,38.18
Balochistan,Lehri,2010-01-01,31.0,34.74
Balochistan,Lehri,2012-01-01,30.0,25.43
Balochistan,Lehri,2014-01-01,49.0,42.08
Balochistan,Loralai,2004-01-01,64.0,52.83
Balochistan,Loralai,2006-01-01,79.0,52.13
Balochistan,Loralai,2008-01-01,71.0,53.09
Balochistan,Loralai,2010-01-01,60.0,41.41
Balochistan,Loralai,2012-01-01,28.0,40.59
Balochistan,Loralai,2014-01-01,51.0,58.1
Balochistan,Mastung,2004-01-01,53.0,37.69
Balochistan,Mastung,2006-01-01,69.0,40.0
Balochistan,Mastung,2008-01-01,82.0,56.65
Balochistan,Mastung,2010-01-01,37.0,51.47
Balochistan,Mastung,2012-01-01,44.0,46.83
Balochistan,Mastung,2014-01-01,50.0,40.26
Balochistan,Musakhel,2004-01-01,67.0,64.7
Balochistan,Musakhel,2006-01-01,83.0,61.53
Balochistan,Musakhel,2008-01-01,85.0,58.02
Balochistan,Musakhel,2010-01-01,66.0,57.87
Balochistan,Musakhel,2012-01-01,37.0,53.92
Balochistan,Musakhel,2014-01-01,53.0,49.57
Balochistan,Nasirabad,2004-01-01,62.0,81.94
Balochistan,Nasirabad,2006-01-01,77.0,87.54
Balochistan,Nasirabad,2008-01-01,82.0,76.0
Balochistan,Nasirabad,2010-01-01,66.0,72.49
Balochistan,Nasirabad,2012-01-01,61.0,77.9
Balochistan,Nasirabad,2014-01-01,61.0,73.94
Balochistan,Nushki,2004-01-01,74.0,21.47
Balochistan,Nushki,2006-01-01,82.0,28.57
Balochistan,Nushki,2008-01-01,74.0,25.16
Balochistan,Nushki,2010-01-01,53.0,47.82
Balochistan,Nushki,2012-01-01,48.0,29.42
Balochistan,Nushki,2014-01-01,47.0,49.58
Balochistan,Panjgur,2004-01-01,58.0,26.91
Balochistan,Panjgur,2006-01-01,72.0,30.16
Balochistan,Panjgur,2008-01-01,72.0,10.58
Balochistan,Panjgur,2010-01-01,60.0,32.87
Balochistan,Pishin,2004-01-01,71.0,32.45
Balochistan,Pishin,2006-01-01,81.0,19.3
Balochistan,Pishin,2008-01-01,55.0,29.64
Balochistan,Pishin,2010-01-01,23.0,24.66
Balochistan,Pishin,2012-01-01,43.0,16.85
Balochistan,Pishin,2014-01-01,54.0,25.39
Balochistan,Quetta,2004-01-01,46.0,4.08
Balochistan,Quetta,2006-01-01,53.0,4.6
Balochistan,Quetta,2008-01-01,55.0,4.59
Balochistan,Quetta,2010-01-01,21.0,5.65
Balochistan,Quetta,2012-01-01,22.0,4.03
Balochistan,Quetta,2014-01-01,41.0,11.66
Balochistan,Sheerani,2004-01-01,71.0,42.72
Balochistan,Sheerani,2006-01-01,76.0,54.6
